test_id,seed_thread,worker_thread,latency_b4,pfd_avg,pfd_min,pfd_max,pfd_std,pfd_absdev
13,1,1,1225.5,3.8,0.0,40.0,2.6,0.7
13,2,1,132474.6,4.6,0.0,112.0,6.2,1.9
13,3,1,112075.8,3.9,0.0,112.0,4.1,0.8
13,4,1,61427.1,4.2,0.0,436.0,14.4,1.2
13,5,1,146088.1,3.8,0.0,400.0,4.6,0.7
13,6,1,92067.8,4.6,0.0,113.0,2.9,1.0
13,1,2,83251.3,4.0,0.0,400.0,6.7,0.8
13,2,2,1204.7,4.7,0.0,77.0,2.8,0.8
13,3,2,152406.0,12.0,0.0,472.0,44.9,15.6
13,4,2,156962.2,4.1,0.0,436.0,10.5,1.0
13,5,2,61122.3,3.8,0.0,436.0,8.6,0.8
13,6,2,68819.5,4.6,0.0,436.0,13.0,1.9
13,1,3,55631.5,4.2,0.0,364.0,6.7,1.1
13,2,3,60159.5,3.9,0.0,76.0,3.9,0.8
13,3,3,1226.7,3.7,0.0,40.0,2.6,0.8
13,4,3,64919.6,4.0,0.0,112.0,4.0,0.8
13,5,3,50431.9,3.9,0.0,220.0,4.2,0.8
13,6,3,78967.0,3.9,0.0,220.0,5.6,0.7
13,1,4,149125.1,3.7,0.0,400.0,4.5,0.7
13,2,4,131938.3,4.1,0.0,436.0,9.1,1.0
13,3,4,139480.5,4.1,0.0,112.0,4.6,1.0
13,4,4,1240.5,3.8,0.0,40.0,2.2,0.6
13,5,4,55442.3,3.0,0.0,75.0,3.1,0.5
13,6,4,133970.6,3.8,0.0,400.0,5.7,0.7
13,1,5,150771.6,3.8,0.0,400.0,4.8,0.8
13,2,5,142418.6,4.6,0.0,437.0,4.9,0.9
13,3,5,152983.7,3.9,0.0,40.0,3.4,0.8
13,4,5,143933.9,2.4,0.0,326.0,6.8,1.1
13,5,5,1318.7,3.7,0.0,40.0,2.1,0.6
13,6,5,130815.7,3.7,0.0,220.0,4.1,0.7
13,1,6,54295.5,4.0,0.0,436.0,5.8,0.8
13,2,6,108332.9,4.1,0.0,112.0,4.5,0.9
13,3,6,151040.9,4.0,0.0,400.0,7.2,0.9
13,4,6,159283.2,4.0,0.0,400.0,7.9,0.9
13,5,6,154718.6,3.6,0.0,40.0,1.5,0.8
13,6,6,1171.0,3.7,0.0,40.0,2.0,0.7
14,1,1,1222.7,3.9,0.0,40.0,2.5,0.5
14,2,1,141021.0,3.8,0.0,112.0,3.9,0.7
14,3,1,153824.7,5.7,0.0,401.0,16.5,2.5
14,4,1,63587.8,3.8,0.0,867.0,20.6,2.2
14,5,1,71891.2,4.1,0.0,364.0,11.2,1.0
14,6,1,51115.5,4.3,0.0,112.0,5.6,1.4
14,1,2,58098.2,3.0,0.0,147.0,4.3,0.6
14,2,2,1189.5,3.7,0.0,40.0,2.3,0.7
14,3,2,56414.2,4.1,0.0,400.0,11.2,0.9
14,4,2,55746.5,4.4,0.0,364.0,11.5,1.4
14,5,2,56030.0,4.1,0.0,688.0,13.4,1.1
14,6,2,51168.3,4.0,0.0,112.0,3.8,0.7
14,1,3,60920.3,3.2,0.0,723.0,13.3,1.0
14,2,3,60213.5,4.1,0.0,400.0,13.4,1.1
14,3,3,1154.3,3.6,0.0,40.0,2.2,0.8
14,4,3,125159.9,3.0,0.0,219.0,5.9,0.7
14,5,3,146990.4,3.8,0.0,112.0,4.2,0.8
14,6,3,143899.7,5.3,0.0,545.0,14.9,1.5
14,1,4,56874.9,4.2,0.0,364.0,11.6,1.2
14,2,4,56640.8,4.7,0.0,436.0,16.3,2.1
14,3,4,50273.8,3.7,0.0,76.0,2.8,0.8
14,4,4,1222.9,3.6,0.0,40.0,2.2,0.8
14,5,4,99258.4,3.8,0.0,76.0,3.5,0.8
14,6,4,67357.2,4.0,0.0,364.0,11.5,0.9
14,1,5,63278.3,4.3,0.0,400.0,13.0,1.2
14,2,5,150462.8,4.1,0.0,400.0,12.2,1.0
14,3,5,130189.8,4.2,0.0,364.0,12.5,1.1
14,4,5,153704.4,4.6,0.0,185.0,4.0,1.0
14,5,5,1299.3,3.7,0.0,40.0,1.9,0.7
14,6,5,61311.8,4.7,0.0,436.0,16.4,2.0
14,1,6,106718.4,3.7,0.0,76.0,3.1,0.8
14,2,6,95426.3,3.9,0.0,112.0,4.1,0.8
14,3,6,59878.6,4.0,0.0,688.0,11.4,0.9
14,4,6,110448.1,4.2,0.0,616.0,14.8,1.3
14,5,6,55401.3,4.4,0.0,400.0,15.3,1.6
14,6,6,1207.6,3.6,0.0,40.0,2.2,0.8
15,1,1,1223.1,4.8,0.0,41.0,2.6,0.7
15,2,1,73400.8,4.0,0.0,76.0,3.9,0.7
15,3,1,110808.5,4.7,0.0,329.0,6.0,0.8
15,4,1,81150.3,4.2,0.0,112.0,4.6,1.0
15,5,1,144418.8,3.8,0.0,364.0,5.3,0.7
15,6,1,130579.1,3.7,0.0,76.0,2.0,0.7
15,1,2,51297.7,3.8,0.0,112.0,2.4,0.6
15,2,2,1212.8,2.9,0.0,39.0,2.0,0.5
15,3,2,66774.9,4.5,0.0,400.0,9.0,1.6
15,4,2,107913.9,5.7,0.0,436.0,16.3,3.8
15,5,2,93042.7,4.4,0.0,472.0,8.6,1.5
15,6,2,100795.3,0.8,0.0,107.0,6.1,1.5
15,1,3,84507.5,4.7,0.0,652.0,14.3,1.9
15,2,3,60811.3,5.0,0.0,760.0,13.1,2.6
15,3,3,1299.2,3.8,0.0,40.0,2.4,0.6
15,4,3,128833.8,4.2,0.0,184.0,4.9,1.0
15,5,3,56829.1,5.4,0.0,220.0,8.5,3.2
15,6,3,57597.4,4.3,0.0,436.0,9.4,1.3
15,1,4,130389.1,4.1,0.0,724.0,8.6,1.0
15,2,4,115601.4,4.5,0.0,400.0,8.9,1.6
15,3,4,109385.7,4.2,0.0,220.0,5.0,1.0
15,4,4,1222.2,3.9,0.0,976.0,10.0,0.6
15,5,4,148028.7,3.3,0.0,183.0,5.3,1.0
15,6,4,62816.4,3.5,0.0,435.0,10.3,1.5
15,1,5,157628.6,3.8,0.0,364.0,5.4,0.6
15,2,5,105894.4,3.8,0.0,112.0,3.1,0.7
15,3,5,156394.3,3.8,0.0,112.0,3.0,0.6
15,4,5,148296.7,4.2,0.0,112.0,4.6,1.0
15,5,5,1207.6,3.7,0.0,40.0,2.1,0.7
15,6,5,100937.8,4.6,0.0,508.0,8.4,1.7
15,1,6,153848.8,3.7,0.0,220.0,2.9,0.7
15,2,6,154957.8,6.3,0.0,185.0,8.4,3.3
15,3,6,57890.9,3.8,0.0,400.0,4.5,0.7
15,4,6,61743.8,6.3,0.0,436.0,16.5,4.9
15,5,6,58421.3,4.8,0.0,400.0,10.3,2.1
15,6,6,1207.1,3.8,0.0,40.0,2.3,0.6
34,1,1,1274.2,3.6,0.0,220.0,3.1,0.8
34,2,1,148597.3,3.4,0.0,327.0,7.2,1.4
34,3,1,62143.2,4.9,0.0,832.0,19.3,2.6
34,4,1,63089.6,5.5,0.0,976.0,23.0,3.6
34,5,1,61980.8,4.8,0.0,976.0,22.0,2.4
34,6,1,124505.9,5.5,0.0,472.0,11.9,3.6
34,1,2,151533.4,4.2,0.0,436.0,7.7,1.0
34,2,2,1194.5,3.5,0.0,112.0,2.3,1.0
34,3,2,159617.1,4.4,0.0,472.0,16.3,1.6
34,4,2,160208.8,5.8,0.0,1120.0,26.9,4.3
34,5,2,122214.6,6.5,0.0,688.0,28.4,5.4
34,6,2,111390.7,3.9,0.0,220.0,5.5,0.8
34,1,3,101449.5,5.5,0.0,760.0,24.8,3.8
34,2,3,61783.4,4.7,0.0,687.0,23.0,3.9
34,3,3,1189.4,3.7,0.0,112.0,2.8,0.8
34,4,3,92222.6,5.3,0.0,508.0,14.1,3.3
34,5,3,67831.9,5.1,0.0,544.0,17.6,2.9
34,6,3,78349.2,4.1,0.0,256.0,5.8,0.9
34,1,4,152592.3,188.1,0.0,1264.0,186.0,183.5
34,2,4,104260.7,4.7,0.0,1192.0,21.9,2.1
34,3,4,135592.9,4.4,0.0,328.0,7.7,1.4
34,4,4,1187.4,3.9,0.0,400.0,5.4,0.8
34,5,4,57068.8,4.0,0.0,507.0,10.8,2.3
34,6,4,151047.7,3.6,0.0,435.0,17.3,1.9
34,1,5,63763.8,4.8,0.0,1084.0,23.3,2.4
34,2,5,60092.2,4.9,0.0,544.0,19.7,2.5
34,3,5,145401.4,4.8,0.0,293.0,5.9,0.9
34,4,5,135328.5,3.8,0.0,148.0,4.1,0.8
34,5,5,1200.8,3.7,0.0,112.0,2.5,0.8
34,6,5,56345.1,4.5,0.0,472.0,18.7,1.9
34,1,6,152972.8,5.1,0.0,1120.0,13.8,2.9
34,2,6,148193.2,6.5,0.0,364.0,13.2,5.2
34,3,6,111584.6,6.1,0.0,617.0,21.3,3.1
34,4,6,87683.6,4.8,0.0,400.0,16.8,2.4
34,5,6,154678.5,5.5,0.0,1012.0,19.1,3.6
34,6,6,1174.3,3.7,0.0,256.0,3.7,0.9
13,1,5,85573.5,5.0,0.0,688.0,15.3,2.4
13,5,2,131299.7,4.0,0.0,436.0,11.4,1.4
13,1,2,82680.5,3.8,0.0,219.0,5.4,1.0
13,3,3,1248.1,3.8,0.0,40.0,2.2,0.5
13,4,2,109244.7,4.1,0.0,436.0,10.0,1.6
13,5,5,1208.9,3.8,0.0,112.0,2.3,0.6
13,5,3,66194.4,4.8,0.0,184.0,7.9,2.0
13,4,3,59000.4,4.6,0.0,255.0,7.8,1.8
13,3,5,112934.6,3.8,0.0,219.0,7.0,1.9
13,6,5,91205.4,4.2,0.0,292.0,5.1,1.2
13,2,1,72041.2,3.8,0.0,111.0,6.7,2.0
13,6,6,1227.2,3.8,0.0,40.0,2.6,0.6
13,6,2,121863.8,4.4,0.0,220.0,7.8,2.1
13,1,3,85135.2,4.7,0.0,434.0,10.1,2.0
13,3,4,101628.0,4.9,0.0,148.0,7.6,2.5
13,3,2,62733.6,4.3,0.0,363.0,8.6,1.4
13,6,1,80696.3,4.2,0.0,220.0,7.7,2.2
13,3,6,116511.2,4.5,0.0,436.0,7.9,1.7
13,5,4,101524.0,4.2,0.0,220.0,9.0,2.9
13,2,5,107414.1,4.6,0.0,436.0,8.7,1.9
13,2,4,69648.9,3.4,0.0,399.0,7.3,0.9
13,1,6,103778.2,4.0,0.0,112.0,5.9,1.1
13,4,4,1237.9,3.8,0.0,40.0,2.3,0.6
13,2,6,71758.4,4.7,0.0,184.0,7.1,2.1
13,6,4,129815.7,4.5,0.0,220.0,7.3,1.9
13,4,1,156187.7,5.0,0.0,400.0,8.8,2.6
13,2,2,1215.9,3.8,0.0,40.0,1.9,0.5
