test_id,seed_thread,worker_thread,latency
13,0,0,1199.7
13,1,0,56960.5
13,2,0,55577.4
13,3,0,139635.6
13,4,0,154122.4
13,5,0,101437.6
13,6,0,133719.1
13,7,0,51169.3
13,8,0,63135.2
13,9,0,120726.2
13,10,0,62242.4
13,11,0,79703.2
13,0,1,150699.8
13,1,1,1187.2
13,2,1,52603.5
13,3,1,155289.7
13,4,1,155190.8
13,5,1,62439.0
13,6,1,117482.3
13,7,1,59743.7
13,8,1,50353.3
13,9,1,154434.7
13,10,1,60402.6
13,11,1,124011.4
13,0,2,122980.1
13,1,2,152782.1
13,2,2,1175.6
13,3,2,144275.5
13,4,2,152080.1
13,5,2,99183.4
13,6,2,56048.0
13,7,2,144078.5
13,8,2,143359.4
13,9,2,66319.7
13,10,2,138927.7
13,11,2,85435.9
13,0,3,56409.5
13,1,3,144290.2
13,2,3,56701.2
13,3,3,1294.8
13,4,3,89201.3
13,5,3,50624.0
13,6,3,118327.8
13,7,3,97462.8
13,8,3,136837.8
13,9,3,52304.8
13,10,3,52507.6
13,11,3,53676.4
13,0,4,57220.8
13,1,4,67946.0
13,2,4,60007.6
13,3,4,52737.6
13,4,4,1217.6
13,5,4,105346.0
13,6,4,135619.0
13,7,4,57145.5
13,8,4,61373.1
13,9,4,55048.1
13,10,4,53608.2
13,11,4,53746.6
13,0,5,88897.6
13,1,5,57762.7
13,2,5,57153.1
13,3,5,51267.4
13,4,5,50885.5
13,5,5,1186.1
13,6,5,61602.2
13,7,5,60662.8
13,8,5,63051.7
13,9,5,52919.7
13,10,5,55985.0
13,11,5,53522.4
13,0,6,85919.3
13,1,6,99527.5
13,2,6,146190.2
13,3,6,141221.6
13,4,6,60926.4
13,5,6,56294.8
13,6,6,1293.4
13,7,6,54838.1
13,8,6,50058.3
13,9,6,138174.5
13,10,6,56578.1
13,11,6,64127.6
13,0,7,51554.4
13,1,7,53093.6
13,2,7,102585.0
13,3,7,56839.6
13,4,7,56067.6
13,5,7,91945.7
13,6,7,52167.5
13,7,7,1186.1
13,8,7,84142.0
13,9,7,64510.3
13,10,7,147618.6
13,11,7,131146.0
13,0,8,131255.3
13,1,8,121173.4
13,2,8,67481.1
13,3,8,59364.4
13,4,8,59356.0
13,5,8,57535.2
13,6,8,51766.1
13,7,8,117209.9
13,8,8,1210.9
13,9,8,121732.4
13,10,8,56741.4
13,11,8,62374.4
13,0,9,57010.1
13,1,9,57723.9
13,2,9,156559.8
13,3,9,116511.3
13,4,9,69256.9
13,5,9,151959.5
13,6,9,66828.6
13,7,9,156022.7
13,8,9,69275.9
13,9,9,1211.0
13,10,9,103334.3
13,11,9,72645.1
13,0,10,137929.9
13,1,10,63290.7
13,2,10,156690.8
13,3,10,55921.2
13,4,10,52357.1
13,5,10,51081.7
13,6,10,56990.1
13,7,10,57955.5
13,8,10,56421.3
13,9,10,50657.8
13,10,10,1204.4
13,11,10,59187.9
13,0,11,57640.3
13,1,11,156773.9
13,2,11,62518.0
13,3,11,150479.2
13,4,11,94036.0
13,5,11,55843.5
13,6,11,62171.9
13,7,11,61390.1
13,8,11,61506.9
13,9,11,146755.5
13,10,11,78459.8
13,11,11,1163.8
14,0,0,1173.5
14,1,0,53083.3
14,2,0,54216.3
14,3,0,123264.5
14,4,0,60139.3
14,5,0,155689.8
14,6,0,56372.6
14,7,0,55632.8
14,8,0,153742.4
14,9,0,56025.0
14,10,0,55896.4
14,11,0,55406.9
14,0,1,50054.4
14,1,1,1294.0
14,2,1,78570.9
14,3,1,58294.9
14,4,1,57137.8
14,5,1,152583.5
14,6,1,106479.9
14,7,1,75389.1
14,8,1,95399.6
14,9,1,58554.6
14,10,1,94700.5
14,11,1,131961.6
14,0,2,94871.2
14,1,2,55197.5
14,2,2,1180.6
14,3,2,53852.7
14,4,2,61323.9
14,5,2,119836.9
14,6,2,135307.5
14,7,2,124661.6
14,8,2,54320.9
14,9,2,51930.7
14,10,2,60124.8
14,11,2,58153.1
14,0,3,63656.7
14,1,3,69113.8
14,2,3,65329.7
14,3,3,1187.6
14,4,3,141834.9
14,5,3,58988.2
14,6,3,59103.6
14,7,3,57883.4
14,8,3,57478.4
14,9,3,90916.3
14,10,3,92138.3
14,11,3,53183.3
14,0,4,158373.0
14,1,4,103664.1
14,2,4,128878.7
14,3,4,130464.0
14,4,4,1194.0
14,5,4,56651.2
14,6,4,129518.7
14,7,4,152568.4
14,8,4,152738.3
14,9,4,58252.0
